-416,226,16403,0,-2,-3,-3,-74,-145;
-407,231,16418,0,-2,-3,-3,-73,-145;
-402,226,16422,0,-2,-3,-3,-73,-145;
-402,228,16422,0,-3,-3,-3,-73,-145;
-394,230,16409,0,-3,-3,-3,-73,-146;
-383,236,16403,0,-3,-4,-3,-73,-146;
-386,238,16398,0,-3,-2,-3,-73,-146;
-387,243,16409,1,-3,-3,-3,-73,-146;
-392,238,16415,1,-3,-2,-3,-72,-146;
-390,243,16405,1,-2,-2,-3,-72,-146;
-388,246,16400,1,-2,-1,-3,-72,-146;
-402,250,16397,2,-3,-1,-3,-72,-145;
-414,244,16396,2,-2,-1,-3,-73,-145;
-420,247,16386,2,-1,-1,-3,-73,-145;
-424,246,16401,2,0,-1,-3,-73,-145;
-433,236,16400,1,0,-2,-3,-73,-145;
-438,243,16403,1,-1,-2,-3,-73,-145;
-442,235,16386,1,-1,-2,-3,-73,-145;
-443,250,16385,1,-2,-1,-3,-73,-145;
-460,232,16389,1,-2,-1,-3,-73,-145;
-466,231,16408,1,-2,-2,-3,-74,-145;
-462,226,16406,0,-3,-1,-3,-73,-145;
-454,225,16386,0,-3,-1,-3,-73,-145;
-438,228,16391,1,-4,-2,-3,-73,-145;
-443,228,16383,1,-3,-2,-3,-73,-145;
-446,233,16382,1,-3,-2,-4,-73,-145;
-432,224,16378,1,-3,-3,-4,-73,-145;
-424,224,16404,1,-3,-3,-4,-72,-145;
-415,218,16385,1,-2,-4,-4,-72,-145;
-409,218,16398,0,-2,-4,-4,-72,-145;
-407,206,16378,0,-1,-5,-4,-72,-145;
-411,205,16374,0,-1,-5,-4,-72,-145;
-410,214,16400,0,-2,-5,-4,-73,-145;
-418,210,16395,-1,-2,-5,-4,-74,-145;
-414,209,16401,0,-2,-5,-4,-74,-145;
-406,208,16400,0,-2,-4,-3,-74,-145;
-413,213,16390,0,-3,-4,-3,-74,-145;
-410,218,16380,0,-2,-4,-3,-74,-145;
-412,223,16388,0,-2,-3,-3,-75,-145;
-418,236,16373,0,-3,-3,-3,-75,-145;
-405,246,16374,1,-3,-3,-3,-75,-145;
-396,242,16367,0,-3,-3,-2,-75,-145;
-398,235,16362,0,-2,-2,-2,-75,-145;
-389,237,16346,0,-1,-3,-2,-74,-145;
-387,248,16336,-1,-1,-2,-2,-74,-145;
-393,244,16341,0,-2,-2,-2,-74,-145;
-401,243,16350,0,-1,-2,-3,-74,-145;
-406,245,16332,1,-1,-2,-2,-74,-145;
-395,241,16318,1,-1,-2,-2,-74,-145;
-390,233,16320,0,-1,-2,-2,-74,-145;
-396,234,16325,0,0,-2,-2,-73,-145;
-398,232,16330,1,0,-2,-2,-73,-145;
-398,229,16321,1,0,-2,-3,-73,-144;
